Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4,HSN Code
,3pcs-set,,,,,,,,S3738500,,Size,L,,,,,,,,1050,1500,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764333729054-whatsapp-image-2025-11-28-at-3.50.45-pm-22.jpg,2,3pcs set,https://only2u-media.b-cdn.net/productsimages/1764333729054-whatsapp-image-2025-11-28-at-3.50.45-pm-22.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,62019100
,3pcs-set,,,,,,,,S3738499,,Size,M,,,,,,,,1050,1500,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764333729054-whatsapp-image-2025-11-28-at-3.50.45-pm-22.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,62019100
,3pcs-set,,,,,,,,S3738502,,Size,2XL,,,,,,,,1050,1500,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764333749811-whatsapp-image-2025-11-28-at-3.50.45-pm-24.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,62019100
3PCS SET,3pcs-set,"Elegant straight-cut kurta set with subtle all-over motifs, paired with matching bottoms and a lightweight floral dupatta. Designed with a notched neckline and three-quarter sleeves, offering a graceful blend of comfort and everyday sophistication.",SUBHAMASTHU SHOPPING MALL,,3 PCS SET,,TRUE,Active,S3725553,,Size,XL,,,,,,,,1850,2650,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1766126688442-gemini_generated_image_wucnn2wucnn2wucn.png,1,3PCS SET,https://only2u-media.b-cdn.net/productsimages/1766126688442-gemini_generated_image_wucnn2wucnn2wucn.png,FALSE,3PCS SET,"Elegant straight-cut kurta set with subtle all-over motifs, paired with matching bottoms and a lightweight floral dupatta. Designed with a notched neckline and three-quarter sleeves, offering a graceful blend of comfort and everyday sophistication.",,,,,,,,new,FALSE,,,,,,54049010
,3pcs-set,,,,,,,,S3725554,,Size,2XL,,,,,,,,1850,2650,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1766126688442-gemini_generated_image_wucnn2wucnn2wucn.png,FALSE,,,,,,,,,,new,FALSE,,,,,,54049010
,3pcs-set,,,,,,,,S3725551,,Size,M,,,,,,,,1850,2650,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1766126712607-gemini_generated_image_2ibcuj2ibcuj2ibc.png,2,3PCS SET,https://only2u-media.b-cdn.net/productsimages/1766126712607-gemini_generated_image_2ibcuj2ibcuj2ibc.png,FALSE,,,,,,,,,,new,FALSE,,,,,,54049010
,3pcs-set,,,,,,,,S3725552,,Size,L,,,,,,,,1850,2650,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1766126712607-gemini_generated_image_2ibcuj2ibcuj2ibc.png,FALSE,,,,,,,,,,new,FALSE,,,,,,54049010
3pcs set,3pcs-set,"Stunning red embroidered suit with golden peacock detailing, paired with a stylish dupatta for a classy, eye-catching look.",DHRITI ENTERPRISES,,3 PCS SET,,TRUE,Active,S3779451,,Size,XL,,,,,,,,950,1360,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764334292750-whatsapp-image-2025-11-28-at-3.50.45-pm-30.jpg,1,3pcs set,https://only2u-media.b-cdn.net/productsimages/1764334292750-whatsapp-image-2025-11-28-at-3.50.45-pm-30.jpg,FALSE,3pcs set,"Stunning red embroidered suit with golden peacock detailing, paired with a stylish dupatta for a classy, eye-catching look.",,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3779450,,Size,L,,,,,,,,950,1360,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764334271986-whatsapp-image-2025-11-28-at-3.50.45-pm-28.jpg,2,3pcs set,https://only2u-media.b-cdn.net/productsimages/1764334271986-whatsapp-image-2025-11-28-at-3.50.45-pm-28.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3779452,,Size,2XL,,,,,,,,950,1360,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764334292750-whatsapp-image-2025-11-28-at-3.50.45-pm-30.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3779449,,Size,M,,,,,,,,950,1360,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764334271986-whatsapp-image-2025-11-28-at-3.50.45-pm-28.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
STRAIGHT CUT TOP,straight-cut-top,"Navy Blue Embroidered Kurta Set with Dupatta, designed to blend timeless tradition with contemporary comfort. Crafted from soft, breathable fabric, the kurta features delicate multicolor embroidery around the neckline and subtle motifs scattered across the body, adding refined charm without overpowering the look.",SUBHAMASTHU SHOPPING MALL,,Tops,,TRUE,Active,S3765392,,Size,XL,,,,,,,,950,1360,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1766132165036-gemini_generated_image_c696q3c696q3c696.png,1,STRAIGHT CUT TOP,https://only2u-media.b-cdn.net/productsimages/1766132165036-gemini_generated_image_c696q3c696q3c696.png,FALSE,STRAIGHT CUT TOP,"Navy Blue Embroidered Kurta Set with Dupatta, designed to blend timeless tradition with contemporary comfort. Crafted from soft, breathable fabric, the kurta features delicate multicolor embroidery around the neckline and subtle motifs scattered across the body, adding refined charm without overpowering the look.",,,,,,,,new,FALSE,,,,,,54072040
,straight-cut-top,,,,,,,,S3765410,,Size,3XL,,,,,,,,950,1360,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1766132165036-gemini_generated_image_c696q3c696q3c696.png,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,straight-cut-top,,,,,,,,S3765391,,Size,L,,,,,,,,950,1360,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1766140529783-gemini_generated_image_l18f85l18f85l18f.png,2,STRAIGHT CUT TOP,https://only2u-media.b-cdn.net/productsimages/1766140529783-gemini_generated_image_l18f85l18f85l18f.png,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,straight-cut-top,,,,,,,,S3765393,,Size,2XL,,,,,,,,950,1360,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1766132165036-gemini_generated_image_c696q3c696q3c696.png,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,straight-cut-top,,,,,,,,S3765390,,Size,M,,,,,,,,950,1360,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1766140526284-gemini_generated_image_l18f85l18f85l18f.png,3,STRAIGHT CUT TOP,https://only2u-media.b-cdn.net/productsimages/1766140526284-gemini_generated_image_l18f85l18f85l18f.png,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
STRAIGHT CUT TOP,straight-cut-top,"Your everyday ethnic wardrobe with this elegant beige straight kurta, designed for effortless comfort and timeless style. Crafted from soft, breathable fabric, this kurta features an all-over traditional paisley-inspired print that adds subtle charm and sophistication.",SUBHAMASTHU SHOPPING MALL,,Tops,,TRUE,Active,S3737393,,Size,M,,,,,,,,750,1070,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1766235596341-gemini_generated_image_ipxompipxompipxo.png,1,STRAIGHT CUT TOP,https://only2u-media.b-cdn.net/productsimages/1766235596341-gemini_generated_image_ipxompipxompipxo.png,FALSE,STRAIGHT CUT TOP,"Your everyday ethnic wardrobe with this elegant beige straight kurta, designed for effortless comfort and timeless style. Crafted from soft, breathable fabric, this kurta features an all-over traditional paisley-inspired print that adds subtle charm and sophistication.",,,,,,,,new,FALSE,,,,,,54072040
,straight-cut-top,,,,,,,,S3737394,,Size,L,,,,,,,,750,1070,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1766235596341-gemini_generated_image_ipxompipxompipxo.png,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,straight-cut-top,,,,,,,,S3737395,,Size,XL,,,,,,,,750,1070,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1766235628865-1-30.jpeg,2,STRAIGHT CUT TOP,https://only2u-media.b-cdn.net/productsimages/1766235628865-1-30.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,straight-cut-top,,,,,,,,S3737396,,Size,2XL,,,,,,,,750,1070,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1766235628865-1-30.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
3pcs set,3pcs-set,"Elevate your ethnic wardrobe with this sophisticated maroon kurta ensemble, perfect for festive occasions and cultural gatherings. The rich, deep-toned kurta features a detailed embroidered yoke with traditional motifs, beautifully contrasted by soft peach bottoms. A statement dupatta, adorned with an intricate, multi-colored art-inspired print, adds a touch of heritage charm to complete this elegant look.",SUBHAMASTHU SHOPPING MALL,,3 PCS SET,,TRUE,Active,S3791311,,Size,XL,,,,,,,,1050,1500,,TRUE,,,,,,shopify,5,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1765129280365-l_whatsapp_image_2025-12-05_at_4.06.49_pm.jpeg,1,3pcs set,https://only2u-media.b-cdn.net/productsimages/1765129280365-l_whatsapp_image_2025-12-05_at_4.06.49_pm.jpeg,FALSE,3pcs set,"Elevate your ethnic wardrobe with this sophisticated maroon kurta ensemble, perfect for festive occasions and cultural gatherings. The rich, deep-toned kurta features a detailed embroidered yoke with traditional motifs, beautifully contrasted by soft peach bottoms. A statement dupatta, adorned with an intricate, multi-colored art-inspired print, adds a touch of heritage charm to complete this elegant look.",,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3791312,,Size,2XL,,,,,,,,1050,1500,,TRUE,,,,,,shopify,7,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1765129280365-l_whatsapp_image_2025-12-05_at_4.06.49_pm.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3791309,,Size,M,,,,,,,,1050,1500,,TRUE,,,,,,shopify,7,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1765129260345-m_whatsapp_image_2025-12-05_at_4.06.49_pm.jpeg,2,3pcs set,https://only2u-media.b-cdn.net/productsimages/1765129260345-m_whatsapp_image_2025-12-05_at_4.06.49_pm.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3791310,,Size,L,,,,,,,,1050,1500,,TRUE,,,,,,shopify,8,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1765129260345-m_whatsapp_image_2025-12-05_at_4.06.49_pm.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
3pcs set,3pcs-set,"“Elegant magenta embroidered suit set with floral detailing and matching dupatta — classy, festive, and effortlessly stylish.”",DHRITI ENTERPRISES,,3 PCS SET,,TRUE,Active,S3718082,,Size,L,,,,,,,,1699,2430,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1765019093964-m_whatsapp_image_2025-11-29_at_1.12.50_pm.jpeg,1,3pcs set,https://only2u-media.b-cdn.net/productsimages/1765019093964-m_whatsapp_image_2025-11-29_at_1.12.50_pm.jpeg,FALSE,3pcs set,"“Elegant magenta embroidered suit set with floral detailing and matching dupatta — classy, festive, and effortlessly stylish.”",,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3718084,,Size,2XL,,,,,,,,1699,2430,,TRUE,,,,,,shopify,4,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1765018966767-l_whatsapp_image_2025-11-29_at_1.12.50_pm.jpeg,2,3pcs set,https://only2u-media.b-cdn.net/productsimages/1765018966767-l_whatsapp_image_2025-11-29_at_1.12.50_pm.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3718081,,Size,M,,,,,,,,1699,2430,,TRUE,,,,,,shopify,4,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1765019093964-m_whatsapp_image_2025-11-29_at_1.12.50_pm.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3718083,,Size,XL,,,,,,,,1699,2430,,TRUE,,,,,,shopify,4,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1765018966767-l_whatsapp_image_2025-11-29_at_1.12.50_pm.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
3pcs set,3pcs-set,"“Graceful white suit with soft floral embroidery, paired with a beautifully printed floral dupatta — a perfect blend of elegance and charm.”",SUBHAMASTHU SHOPPING MALL,,3 PCS SET,,TRUE,Active,S3763069,,Size,XL,,,,,,,,1850,2640,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764449425519-gemini_generated_image_d7t5ewd7t5ewd7t5-28-24.jpg,1,3pcs set,https://only2u-media.b-cdn.net/productsimages/1764449425519-gemini_generated_image_d7t5ewd7t5ewd7t5-28-24.jpg,FALSE,3pcs set,"“Graceful white suit with soft floral embroidery, paired with a beautifully printed floral dupatta — a perfect blend of elegance and charm.”",,,,,,,,new,FALSE,,,,,,54049010
,3pcs-set,,,,,,,,S3763071,,Size,3XL,,,,,,,,1850,2640,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764449425519-gemini_generated_image_d7t5ewd7t5ewd7t5-28-24.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54049010
,3pcs-set,,,,,,,,S3763068,,Size,L,,,,,,,,1850,2640,,TRUE,,,,,,shopify,4,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764449411652-gemini_generated_image_d7t5ewd7t5ewd7t5-23.jpg,2,3pcs set,https://only2u-media.b-cdn.net/productsimages/1764449411652-gemini_generated_image_d7t5ewd7t5ewd7t5-23.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54049010
,3pcs-set,,,,,,,,S3763070,,Size,2XL,,,,,,,,1850,2640,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764449425519-gemini_generated_image_d7t5ewd7t5ewd7t5-28-24.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54049010
,3pcs-set,,,,,,,,S3763067,,Size,M,,,,,,,,1850,2640,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764449411652-gemini_generated_image_d7t5ewd7t5ewd7t5-23.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54049010
3 pc set,3-pc-set,"“Soft floral kurta paired with a vibrant pink dupatta — a fresh, feminine, and effortlessly elegant look.”",BHAGAWATHI CREATIONS,,3 PCS SET,,TRUE,Active,S3763138,,Size,M,,,,,,,,1150,1640,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764444801026-whatsapp-image-2025-11-17-at-9.23.34-pm-3.jpeg,1,3 pc set,https://only2u-media.b-cdn.net/productsimages/1764444801026-whatsapp-image-2025-11-17-at-9.23.34-pm-3.jpeg,FALSE,3 pc set,"“Soft floral kurta paired with a vibrant pink dupatta — a fresh, feminine, and effortlessly elegant look.”",,,,,,,,new,FALSE,,,,,,54049010
,3-pc-set,,,,,,,,S3763141,,Size,2XL,,,,,,,,1150,1640,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764444809264-whatsapp-image-2025-11-17-at-9.23.34-pm-4.jpeg,2,3 pc set,https://only2u-media.b-cdn.net/productsimages/1764444809264-whatsapp-image-2025-11-17-at-9.23.34-pm-4.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54049010
,3-pc-set,,,,,,,,S3763140,,Size,XL,,,,,,,,1150,1640,,TRUE,,,,,,shopify,2,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764444809264-whatsapp-image-2025-11-17-at-9.23.34-pm-4.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54049010
,3-pc-set,,,,,,,,S3763139,,Size,L,,,,,,,,1150,1640,,TRUE,,,,,,shopify,1,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764444801026-whatsapp-image-2025-11-17-at-9.23.34-pm-3.jpeg,FALSE,,,,,,,,,,new,FALSE,,,,,,54049010
3 pc set,3-pc-set,"Beautiful pink kurti set with delicate embroidery and a stunning floral dupatta. Soft, comfortable, and perfect for festive wear, office wear, and casual outings.",RUDRA TEXTILES,,3 PCS SET,,TRUE,Active,S3748229,,Size,2XL,,,,,,,,999,1430,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764443754351-gemini_generated_image_d7t5ewd7t5ewd7t5-28-38.jpg,1,3 pc set,https://only2u-media.b-cdn.net/productsimages/1764443754351-gemini_generated_image_d7t5ewd7t5ewd7t5-28-38.jpg,FALSE,3 pc set,"Beautiful pink kurti set with delicate embroidery and a stunning floral dupatta. Soft, comfortable, and perfect for festive wear, office wear, and casual outings.",,,,,,,,new,FALSE,,,,,,54072040
,3-pc-set,,,,,,,,S3748226,,Size,M,,,,,,,,999,1430,,TRUE,,,,,,shopify,5,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764443745853-gemini_generated_image_d7t5ewd7t5ewd7t5-28-28.jpg,2,3 pc set,https://only2u-media.b-cdn.net/productsimages/1764443745853-gemini_generated_image_d7t5ewd7t5ewd7t5-28-28.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3-pc-set,,,,,,,,S3748227,,Size,L,,,,,,,,999,1430,,TRUE,,,,,,shopify,5,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764443745853-gemini_generated_image_d7t5ewd7t5ewd7t5-28-28.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3-pc-set,,,,,,,,S3748228,,Size,XL,,,,,,,,999,1430,,TRUE,,,,,,shopify,5,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764443754351-gemini_generated_image_d7t5ewd7t5ewd7t5-28-38.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
3pcs set,3pcs-set,“Elegant pastel green suit adorned with stunning peacock motifs and delicate embroidery — a perfect blend of grace and royal charm.”,SUBHAMASTHU SHOPPING MALL,,3 PCS SET,,TRUE,Active,S3748248,,Size,XL,,,,,,,,1350,1930,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764442328709-gemini_generated_image_cbqbyxcbqbyxcbqb-29.jpg,1,3pcs set,https://only2u-media.b-cdn.net/productsimages/1764442328709-gemini_generated_image_cbqbyxcbqbyxcbqb-29.jpg,FALSE,3pcs set,“Elegant pastel green suit adorned with stunning peacock motifs and delicate embroidery — a perfect blend of grace and royal charm.”,,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3748247,,Size,L,,,,,,,,1350,1930,,TRUE,,,,,,shopify,3,deny,,kg,TRUE,manual,https://only2u-media.b-cdn.net/productsimages/1764442269929-gemini_generated_image_cbqbyxcbqbyxcbqb-28.jpg,2,3pcs set,https://only2u-media.b-cdn.net/productsimages/1764442269929-gemini_generated_image_cbqbyxcbqbyxcbqb-28.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3748249,,Size,2XL,,,,,,,,1350,1930,,TRUE,,,,,,shopify,6,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764442328709-gemini_generated_image_cbqbyxcbqbyxcbqb-29.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
,3pcs-set,,,,,,,,S3748246,,Size,M,,,,,,,,1350,1930,,TRUE,,,,,,shopify,4,deny,,kg,TRUE,manual,,,,https://only2u-media.b-cdn.net/productsimages/1764442269929-gemini_generated_image_cbqbyxcbqbyxcbqb-28.jpg,FALSE,,,,,,,,,,new,FALSE,,,,,,54072040
